property_type,arrondissement,Valeur en DH/m²
Appartement,Al Fida,11222.222222222223
Appartement,Aïn Chock,15033.333333333334
Appartement,Aïn Sebaâ,11090.90909090909
Appartement,Ben M'sik,9500.0
Appartement,Hay Hassani,13653.846153846154
Appartement,Hay Mohammadi,9800.0
Appartement,Maârif,18863.636363636364
Appartement,Mers Sultan,14111.111111111111
Appartement,Moulay Rachid,6708.333333333333
Appartement,Sidi Bernoussi,10000.0
Appartement,Sidi Moumen,13125.0
Appartement,Sidi Othman,10166.666666666666
Villa,Al Fida,8000.0
Villa,Aïn Chock,10282.608695652174
Villa,Aïn Sebaâ,5839.285714285715
Villa,Ben M'sik,6500.0
Villa,Hay Hassani,10550.0
Villa,Hay Mohammadi,5865.384615384615
Villa,Maârif,10800.0
Villa,Mers Sultan,7833.333333333333
Villa,Moulay Rachid,6375.0
Villa,Sidi Bernoussi,6666.666666666667
Villa,Sidi Moumen,7400.0
Villa,Sidi Othman,5666.666666666667
